ALL STANDALONE,,,,,,,
(As on Date:  13-10-2025  0:55:24),,,,,,,
Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-7339,ZAKIR HUSSAIN TEACHER TRAINING INSTITUTE KHANDWA,Madhya Pradesh,Burhanpur,1999,Rural,Teacher Training,Private Un-Aided
S-17938,A.B.V.M. College of Education,Madhya Pradesh,Bhind,2018,Rural,Teacher Training,Private Un-Aided
S-17810,PATIDAR NURSING INSTITUTE,Madhya Pradesh,Ujjain,-,Rural,Nursing,Private Aided (Government Aided)
S-179,JAIPURIA INSTITUTE OF MANAGEMENT INDORE,Madhya Pradesh,Indore,2010,Rural,PGDM Institutes,Private Un-Aided
S-1600,JAYPEE POLYTECHNIC AND TRAINING CENTRE REWA,Madhya Pradesh,Rewa,2011,Rural,Technical/Polytechnic,Private Un-Aided
S-7249,J.B. INSTITUTE OF TEACHER EDUCATION GWALIOR,Madhya Pradesh,Gwalior,2014,Urban,Teacher Training,Private Aided (Government Aided)
S-21784,DIET DEWAS,Madhya Pradesh,Dewas,-,Rural,Teacher Training,State Government
S-18353,K. K. VYAVSIK ADHAYAYAN MAHAVIDHYALAYA,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-1601,JIJA MATA GOVT POLYTECHNIC COLLEGE BURHANPUR,Madhya Pradesh,Burhanpur,1988,Rural,Technical/Polytechnic,State Government
S-15227,Karnimata Institute of Nursing,Madhya Pradesh,Neemuch,2011,Rural,Nursing,Private Aided (Government Aided)
S-4678,K S NURSING COLLEGE GWALIOR,Madhya Pradesh,Gwalior,2006,Rural,Nursing,Private Un-Aided
S-21773,SAI ACADEMY,Madhya Pradesh,Barwani,-,Rural,Teacher Training,Private Un-Aided
S-21781,S V COLLEGE OF EDUCATION,Madhya Pradesh,Bhopal,-,Urban,Teacher Training,Private Un-Aided
S-18338,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION BHOPAL,Madhya Pradesh,Bhopal,1975,Urban,Hotel Management and Catering,Central Government
S-7211,GOVT. DISTRICT INSTITUTE OF EDUCATION AND TRAINING KHARGONE,Madhya Pradesh,Khargone (West Nimar),-,Urban,Teacher Training,State Government
S-21783,SHRI RAM RAJA SARKAR INSTITUTE OF EDUCATION,Madhya Pradesh,Datia,-,Rural,Teacher Training,Private Un-Aided
S-21772,DIET BARWANI,Madhya Pradesh,Barwani,-,Urban,Teacher Training,State Government
S-7214,DISTRICT INSTITUTE OF EDUCATION AND TRAINING MORENA,Madhya Pradesh,Morena,-,Urban,Teacher Training,-
S-25781,GURUDEV COLLEGE,Madhya Pradesh,Sagar,2015,Rural,Teacher Training,Private Un-Aided
S-25780,DISTRICT INSTITUTE OF EDUCATION AND TRAINING KATNI    ,Madhya Pradesh,Katni,2013,Urban,Teacher Training,State Government
S-15192,NAVAMBEY COLLEGE OF EDUCATION,Madhya Pradesh,Jabalpur,2006,Rural,Teacher Training,Private Un-Aided
S-7257,LAL BAHADUR SHASTRI VYAVSAYIK ADHYAPAN MAHAVIDYALY HARDA,Madhya Pradesh,Harda,2005,Urban,Teacher Training,Private Un-Aided
S-18287,"Shri Balaji College of Education, Plot -256, Senthra Aheer, porsa",Madhya Pradesh,Morena,-,Rural,Teacher Training,Private Un-Aided
S-20581,SHREE BALAJI INSTITUTE OF PROFESSIONAL STUDIES,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-20678,MA NARMADA COLLEGE OF NURSING DHAR,Madhya Pradesh,Dhar,2020,Urban,Nursing,Private Un-Aided
S-18288,"Nagaji Institute of Teachers Education, Sitholi, Gwaliar",Madhya Pradesh,Datia,-,Urban,Teacher Training,Private Un-Aided
S-20679,MARUTI INSTITUTE OF NURSING SEONI,Madhya Pradesh,Seoni,2015,Rural,Nursing,Private Un-Aided
S-20270,VIR TATYA TOPE GNM SCHOOL,Madhya Pradesh,Shivpuri,-,Urban,Nursing,Private Un-Aided
S-26048,INSIGHT INSTITUTE OF EDUCATION,Madhya Pradesh,Chhatarpur,2015,Urban,Teacher Training,Private Un-Aided
S-20444,"GNS NURSING COLLEGE, GWALIOR",Madhya Pradesh,Gwalior,2020,Rural,Nursing,Private Aided (Government Aided)
S-174,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT,Madhya Pradesh,Gwalior,1983,Urban,Institutes under Ministries,Central Government
S-15349,"LAL BAHADUR SHASTRI VYAVSAYIK ADHYAYAN MAHAVIDYALAYA, HARDA",Madhya Pradesh,Harda,2010,Urban,Nursing,Private Un-Aided
S-13770,"MALWA COLLEGE OF EDUCATION BINAGANJ CHACHODA, GUNA",Madhya Pradesh,Guna,2008,Rural,Teacher Training,Private Un-Aided
S-1572,GOVT.POLYTECHNIC COLLEGE KHURAI,Madhya Pradesh,Sagar,1962,Urban,Technical/Polytechnic,State Government
S-1571,GOVT.POLYTECHNIC COLLEGE KHIRSADOH,Madhya Pradesh,Chhindwara,1958,Rural,Technical/Polytechnic,State Government
S-15128,MALWA SCHOOL OF NURSING,Madhya Pradesh,Guna,2010,Rural,Nursing,Private Un-Aided
S-1570,GOVT.POLYTECHNIC COLLEGE KHARGONE,Madhya Pradesh,Khargone (West Nimar),1991,Urban,Technical/Polytechnic,State Government
S-19741,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Madhya Pradesh,Gwalior,2016,Urban,Technical/Polytechnic,Central Government
S-19728,MAA KRISHNA NURSING SCHOOL,Madhya Pradesh,Bhind,-,Rural,Nursing,Private Un-Aided
S-1569,GOVT.POLYTECHNIC COLLEGE KATNI,Madhya Pradesh,Katni,2010,Rural,Technical/Polytechnic,State Government
S-19655,ISBA COLLEGE,Madhya Pradesh,Neemuch,-,Rural,PGDM Institutes,Private Un-Aided
S-15881,"MARUTI INSTITUTE OF NURSING ,BETUL",Madhya Pradesh,Betul,2014,Rural,Nursing,Private Un-Aided
S-18432,GURUKUL ACADEMY,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-19654,INTERNATIONAL SCHOOL OF BUSINESS ADMINISTRATION,Madhya Pradesh,Neemuch,-,Rural,PGDM Institutes,Private Aided (Government Aided)
S-19647,GYANSAGAR ACADEMY COLLEGE,Madhya Pradesh,Narsimhapur,2020,Rural,PGDM Institutes,Private Un-Aided
S-20412,PATEL INSTITUTE OF MANAGEMENT STUDIES BHOPAL,Madhya Pradesh,Bhopal,-,Rural,PGDM Institutes,Private Un-Aided
S-15880,"MARUTI INSTITUTE OF NURSING ,HOSHANGABAD",Madhya Pradesh,Narmadapuram,2014,Rural,Nursing,Private Un-Aided
S-15480,"MARUTI INSTITUTE OF NURSING, SEONI",Madhya Pradesh,Seoni,2015,Rural,Nursing,Private Un-Aided
S-19646,ARIHANT INSTITUTE OF PROFESSIONAL STUDIES,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-16193,SAHARA COLLEGE OF EDUCATION,Madhya Pradesh,Shajapur,2016,Urban,Teacher Training,Private Un-Aided
S-19645,PHOENIX COLLEGE,Madhya Pradesh,Ratlam,-,Rural,PGDM Institutes,Private Un-Aided
S-18383,AADHAR COLLEGE OF NURSING SAILANA,Madhya Pradesh,Ratlam,-,Rural,Nursing,Private Un-Aided
S-7223,DISTRICT INSTITUTE OF EDUCATION AND TRAINING SAHDOLE,Madhya Pradesh,Shahdol,-,Urban,Teacher Training,-
S-7248,INSTITUTE OF ALLIED SCIENCE AND COMPUTER APPLICATIONS GWALIOR,Madhya Pradesh,Gwalior,2004,Rural,Teacher Training,Private Un-Aided
S-14141,"Maulaa Azad D.Ed. College, Burahanpur",Madhya Pradesh,Burhanpur,2007,Rural,Teacher Training,Private Un-Aided
S-19644,BAFNA COLLEGE,Madhya Pradesh,Jhabua,-,Urban,PGDM Institutes,Private Un-Aided
S-1604,M.J.P. POLYTECHNIC COLLEGE KHANDWA,Madhya Pradesh,Khandwa (East Nimar),1960,Urban,Technical/Polytechnic,State Government
S-4683,M P S COLLEGE OF NURSING & RESEARCH GWALIOR,Madhya Pradesh,Gwalior,2010,Urban,Nursing,Private Un-Aided
S-7261,M.P.S. SHIKSHA MAHAVIDYALAYA GWALIOR,Madhya Pradesh,Gwalior,2005,Rural,Teacher Training,Private Un-Aided
S-25679,KARTIKAY INSTITUTE OF REHABILITATION AND TRAINING CENTRE    ,Madhya Pradesh,Chhindwara,2022,Urban,Teacher Training,Private Un-Aided
S-4692,NAVAL KISHORE SHIVHARE NURSING SCHOOL BHIND,Madhya Pradesh,Bhind,2006,Rural,Nursing,Private Aided (Government Aided)
S-19630,DIET NEEMUCH,Madhya Pradesh,Neemuch,2008,Urban,Teacher Training,State Government
S-4693,NISHAD COLLEGE OF NURSING & ALLIED SCIENCES SATNA,Madhya Pradesh,Satna,2008,Rural,Nursing,Local Body
S-7202,DISTRICT INSTITUTE OF EDUCATION AND TRAINING DATIA,Madhya Pradesh,Datia,-,Urban,Teacher Training,-
S-19600,SAI NATH COLLEGE OF MANAGEMENT,Madhya Pradesh,Gwalior,-,Urban,PGDM Institutes,Private Un-Aided
S-19483,ANSH COLLEGE OF MANAGEMENT,Madhya Pradesh,Gwalior,2020,Urban,PGDM Institutes,Private Un-Aided
S-19480,GIRNAR BUSINESS SCHOOL,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-4691,N S MEMORIAL SCHOOL OF NURSING DATIA,Madhya Pradesh,Datia,2008,Urban,Nursing,Private Un-Aided
S-20409,JAI MAA PITAMBRA COLLEGE OF MANAGEMENT,Madhya Pradesh,Datia,-,Urban,PGDM Institutes,Private Un-Aided
S-4694,OJASWINI INSTITUTE OF NURSING SCIENCES & RESEARCH DAMOH,Madhya Pradesh,Damoh,2006,Rural,Nursing,Private Un-Aided
S-19474,PARAKH COLLEGE BHOPAL,Madhya Pradesh,Bhopal,2019,Rural,PGDM Institutes,Private Un-Aided
S-19473,SYNERGY INSTITUTE OF MANAGEMENT,Madhya Pradesh,Dewas,-,Rural,PGDM Institutes,Private Un-Aided
S-19471,ADARSH COLLEGE OF MANAGEMENT BHOPAL,Madhya Pradesh,Bhopal,-,Rural,PGDM Institutes,Private Un-Aided
S-1567,GOVT.POLYTECHNIC COLLEGE HARDA,Madhya Pradesh,Harda,1962,Urban,Technical/Polytechnic,State Government
S-19467,SWATANTRA SAINANI INSTITUTE OF BUSINESS MANAGEMENT,Madhya Pradesh,Indore,2020,Rural,PGDM Institutes,Private Un-Aided
S-1587,GOVT.POLYTECHNIC COLLEGE SHIVPURI,Madhya Pradesh,Shivpuri,2009,Urban,Technical/Polytechnic,State Government
S-19236,LAXMAN SETH PARAMEDICAL COLLEGE  DINARA SHIVPURI,Madhya Pradesh,Shivpuri,2019,Rural,Paramedical,Private Aided (Government Aided)
S-4695,OJASWINI NURSING SCHOOL SAGAR,Madhya Pradesh,Sagar,2006,Rural,Nursing,Private Un-Aided
S-19233,LAXMAN SETH POLYTECHNIC COLLEGE DINARA SHIVPURI,Madhya Pradesh,Shivpuri,2015,Rural,Technical/Polytechnic,Local Body
S-19232,Anant Institute of Business Studies,Madhya Pradesh,Ashoknagar,2018,Rural,PGDM Institutes,Private Un-Aided
S-1577,GOVT.POLYTECHNIC COLLEGE RAGHOGARH,Madhya Pradesh,Guna,1998,Rural,Technical/Polytechnic,State Government
S-1566,GOVT.POLYTECHNIC COLLEGE DINDORI,Madhya Pradesh,Dindori,2009,Rural,Technical/Polytechnic,State Government
S-13771,"OMKAR COLLEGE OF PROFESSIONAL STUDIES, GUNA",Madhya Pradesh,Guna,2007,Rural,Teacher Training,Private Un-Aided
S-1565,GOVT.POLYTECHNIC COLLEGE DEWAS,Madhya Pradesh,Dewas,2010,Rural,Technical/Polytechnic,State Government
S-1564,GOVT.POLYTECHNIC COLLEGE DATIA,Madhya Pradesh,Datia,2010,Rural,Technical/Polytechnic,State Government
S-4730,VANDE MAATRAM SCHOOL OF NURSING GWALIOR,Madhya Pradesh,Gwalior,2008,Urban,Nursing,Private Un-Aided
S-1563,GOVT.POLYTECHNIC COLLEGE DABRA,Madhya Pradesh,Gwalior,1995,Rural,Technical/Polytechnic,State Government
S-1562,GOVT.POLYTECHNIC COLLEGE CHHINDWARA,Madhya Pradesh,Chhindwara,1998,Urban,Technical/Polytechnic,State Government
S-18285,SAPPHIRE INSTITUTE OF MANAGEMENT,Madhya Pradesh,Indore,2018,Rural,PGDM Institutes,Private Un-Aided
S-18981,LSA COLLEGE DHAR,Madhya Pradesh,Dhar,-,Rural,PGDM Institutes,Private Un-Aided
S-22743,SNEH INSTITUTE OF NURSING  HOSPITAL,Madhya Pradesh,Bhopal,2013,Urban,Nursing,Private Un-Aided
S-7327,VARDHMAN SHIKSHA MAHAVIDYALAYA KATNI,Madhya Pradesh,Katni,2008,Rural,Teacher Training,Private Un-Aided
S-1559,GOVT.POLYTECHNIC COLLEGE BETUL,Madhya Pradesh,Betul,1988,Rural,Technical/Polytechnic,State Government
S-25894,PRAGYA SAGAR ACADEMY ,Madhya Pradesh,Rajgarh,2015,Rural,Teacher Training,Private Un-Aided
S-20271,VEENA VADINI COLLEGE OF NURSING GWALIOR,Madhya Pradesh,Gwalior,2010,Urban,Nursing,Private Un-Aided
S-25897,"KAMAD GIRI SHIKSHA AVAM SAMAJIK SANSTHAN'S D.EL.ED COLLEGE, GWALIOR",Madhya Pradesh,Gwalior,2005,Urban,Teacher Training,Private Un-Aided
S-25899,"VISHVABHARTI INSTITUTE OF EDUCATION, UJJAIN",Madhya Pradesh,Ujjain,2010,Urban,Teacher Training,Private Un-Aided
S-20272,SIYA RAM COLLEGE OF NURSING GWALIOR,Madhya Pradesh,Gwalior,-,Rural,Nursing,Private Un-Aided
S-7319,SRI KANVERTARA INSTITUTE FOR TEACHERS TRAINING KHARGAON,Madhya Pradesh,Khargone (West Nimar),2004,Rural,Teacher Training,Private Un-Aided
S-17633,MALWA INSTITUTE OF MANAGEMENT,Madhya Pradesh,Gwalior,2018,Urban,PGDM Institutes,Private Un-Aided
S-17634,SAPPHIRE INSTITUTE OF BUSINESS MANAGEMENT INDORE,Madhya Pradesh,Indore,2015,Rural,PGDM Institutes,Private Un-Aided
S-20273,SAI NATH COLLEGE GWALIOR,Madhya Pradesh,Gwalior,-,Rural,Nursing,Private Un-Aided
S-7237,GULAB BAI YADAV D.ED. SHIKSHAN SANSTHAN KHARGAON,Madhya Pradesh,Khargone (West Nimar),2002,Rural,Teacher Training,Private Aided (Government Aided)
S-1555,GOVT.POLYTECHNIC COLLEGE ANUPPUR,Madhya Pradesh,Anuppur,2010,Rural,Technical/Polytechnic,State Government
S-1554,GOVT.POLYTECHNIC COLLEGE ALIRAJPUR,Madhya Pradesh,Alirajpur,2010,Rural,Technical/Polytechnic,State Government
S-1546,DR.B.R.AMBEDKAR POLYTECHNIC COLLEGE GWALIOR,Madhya Pradesh,Gwalior,1956,Urban,Technical/Polytechnic,State Government
S-7231,DISTRICT INSTITUTE OF EDUCATION AND TRAINING UJJAIN,Madhya Pradesh,Ujjain,1989,Urban,Teacher Training,State Government
S-17688,NAVRATAN COLLEGE OF MANAGEMENT,Madhya Pradesh,Dhar,-,Urban,PGDM Institutes,Private Un-Aided
S-18980,OXFORD COLLEGE OF MANAGEMENT,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-17602,INDIRA GANDHI COLLEGE OF NURSING,Madhya Pradesh,Jabalpur,2012,Rural,Nursing,Private Aided (Government Aided)
S-17601,govt. polytechnic college sironj,Madhya Pradesh,Vidisha,2011,Urban,Technical/Polytechnic,State Government
S-7230,DISTRICT INSTITUTE OF EDUCATION AND TRAINING TIKAMGARH,Madhya Pradesh,Tikamgarh,1951,Rural,Teacher Training,State Government
S-17600,"Government Polytechnic College, Rajgarh",Madhya Pradesh,Rajgarh,2011,Rural,Technical/Polytechnic,State Government
S-17599,narmada institute of nursing medical science,Madhya Pradesh,Khargone (West Nimar),2014,Urban,Nursing,State Government
S-7229,DISTRICT INSTITUTE OF EDUCATION AND TRAINING SIDHI,Madhya Pradesh,Sidhi,1992,Urban,Teacher Training,State Government
S-20274,MAHESHWARI COLLEGE OF NURSING,Madhya Pradesh,Gwalior,-,Urban,Nursing,Local Body
S-18982,N R INSTITUTE D ED COLLEGE MANDVI,Madhya Pradesh,Betul,-,Rural,Teacher Training,Private Un-Aided
S-18983,Sapient Institute of Management Studies,Madhya Pradesh,Indore,2009,Rural,PGDM Institutes,Private Un-Aided
S-18984,IMI Business School,Madhya Pradesh,Indore,2019,Urban,PGDM Institutes,Private Un-Aided
S-20275,PANCHSHEEL INSTITUTE OF NURSING SHAHDOL,Madhya Pradesh,Shahdol,-,Rural,Nursing,Private Un-Aided
S-20276,"LORD BUDDHA SCHOOL OF NURSING, REWA",Madhya Pradesh,Rewa,-,Urban,Nursing,Private Un-Aided
S-18985,The Madhya Pradesh Flying Club Ltd,Madhya Pradesh,Indore,-,Urban,Technical/Polytechnic,Private Un-Aided
S-17736,Government Polytechnic College Sheopur,Madhya Pradesh,Sheopur,2009,Rural,Technical/Polytechnic,State Government
S-20277,"THE SINGROULI INSTITUTE OF NURSING WAIDHAN, DIST SINGROULI",Madhya Pradesh,Singrauli,2013,Urban,Nursing,Private Un-Aided
S-20984,MA SIDDHESWARI EDUCATION COLLEGE KALAMAD  BAIRAD PLOT  TEHSIL POHARI SHIVPURI M P,Madhya Pradesh,Shivpuri,-,Rural,Teacher Training,Private Un-Aided
S-20996,ANANT INSTITUTE OF NURSING,Madhya Pradesh,Jabalpur,-,Urban,Nursing,Local Body
S-15479,MAHI SCHOOL OF NURSING SARWAN PALACE SARWAN,Madhya Pradesh,Ratlam,2012,Rural,Nursing,Private Un-Aided
S-7329,VEENA VADINI SHIKSHAK PRASHIKSHAN GWALIOR,Madhya Pradesh,Gwalior,2005,Urban,Teacher Training,Private Un-Aided
S-20379,MADHAV PARAMEDICAL COLLEGE PANNA,Madhya Pradesh,Panna,2020,Urban,Paramedical,Private Un-Aided
S-18433,Scholars Academy,Madhya Pradesh,Shajapur,-,Urban,Teacher Training,Local Body
S-7246,INDORE MAHAVIDYALAYA INDORE,Madhya Pradesh,Indore,-,Rural,Teacher Training,-
S-20380,M K PERAMEDICAL INSTITUTE OF SCIENCE,Madhya Pradesh,Jabalpur,2020,Rural,Paramedical,State Government
S-20860,VIDYAVATI COLLEGE  OF NURSING BTI ROAD VIKRAMPURA BHIND,Madhya Pradesh,Bhind,2011,Rural,Nursing,Private Un-Aided
S-20856,DISTRICT INSTITUTE OF EDUCATION AND TRAINING BAGRUL HARDA,Madhya Pradesh,Harda,-,Rural,Teacher Training,State Government
S-21486,EVERGREEN EDUCATION SOCIETY COLLEGE KIWLARI SOHAGPUR,Madhya Pradesh,Narmadapuram,-,Rural,PGDM Institutes,Private Un-Aided
S-21789,GOVT DISTRICT INSTITUTE OF EDUCATION AND TRAINING  VIKAT GANJ  BANDHAVGARH  UMARIA,Madhya Pradesh,Umaria,-,Rural,Teacher Training,State Government
S-1558,GOVT.POLYTECHNIC COLLEGE BALAGHAT,Madhya Pradesh,Balaghat,1962,Urban,Technical/Polytechnic,State Government
S-20279,SHAKUNTALA DEVI D ED COLLEGE,Madhya Pradesh,Indore,2021,Rural,PGDM Institutes,Private Un-Aided
S-21782,SHRI SHANTI COLLEGE OF EDUCATION DATIA,Madhya Pradesh,Datia,-,Rural,Teacher Training,Private Un-Aided
S-18382,ARHAM INSTITUTE OF NURSING,Madhya Pradesh,Jhabua,2016,Rural,Nursing,Private Un-Aided
S-1557,GOVT.POLYTECHNIC COLLEGE BADWANI,Madhya Pradesh,Barwani,2003,Rural,Technical/Polytechnic,State Government
S-21775,KANHA JI SHIKSHA MAHAVIDHYALAY MAHAPUR BHIND,Madhya Pradesh,Bhind,-,Rural,Teacher Training,Private Un-Aided
S-21785,SARDAR PATEL SCHOOL OF EDUCATION,Madhya Pradesh,Jhabua,-,Rural,Teacher Training,Private Un-Aided
S-20714,MARUTINANDAN PARAMEDICAL INSTITUTE OF SCIENCE,Madhya Pradesh,Narsimhapur,-,Rural,Paramedical,State Government
S-21187,CHOWDHARI SHIV KUMAR SHARMA TEACHER INSTITUTION PRITHVIPURA BHIND,Madhya Pradesh,Bhind,2008,Rural,Teacher Training,Private Un-Aided
S-7234,DR GYAN PRAKASH EDUCATIONAL RESERCH CENTRE CHHATTARPUR,Madhya Pradesh,Chhatarpur,-,-,Teacher Training,-
S-22185,RAMADHAR SINGH SHIKSHA MAHAVIDHYALAYA NAYAGAON BHIND,Madhya Pradesh,Bhind,-,Rural,Teacher Training,Private Un-Aided
S-22184,GOVT DISTRICT INSTITUTE OF EDUCATION AND TRAINING ALIRAJPUR,Madhya Pradesh,Alirajpur,-,Urban,Teacher Training,State Government
S-20681,SAI SCHOOL OF NURSING,Madhya Pradesh,Alirajpur,-,Urban,Nursing,Private Aided (Government Aided)
S-7232,DISTRICT INSTITUTE OF EDUCATION AND TRAINING VIDISHA,Madhya Pradesh,Vidisha,1998,Urban,Teacher Training,State Government
S-7227,DISTRICT INSTITUTE OF EDUCATION AND TRAINING SHAJAPUR,Madhya Pradesh,Shajapur,1991,Urban,Teacher Training,State Government
S-1550,GOVT. POLYTECHNIC COLLEGE MORENA,Madhya Pradesh,Morena,1984,Urban,Technical/Polytechnic,State Government
S-15408,Vijayaraje College Of Education Gwalior,Madhya Pradesh,Gwalior,2014,Urban,Teacher Training,Private Un-Aided
S-21221,NATIONAL INSTITUTE OF MENTAL HEALTH REHABILITATION,Madhya Pradesh,Sehore,2019,Urban,Teacher Training,Central Government
S-20680,SAANVI INSTITUTE OF NURSING AND RESEARCH GWALIOR,Madhya Pradesh,Gwalior,-,Urban,Nursing,Private Un-Aided
S-7208,DISTRICT INSTITUTE OF EDUCATION AND TRAINING JABALPUR,Madhya Pradesh,Jabalpur,1991,Urban,Teacher Training,State Government
S-7226,DISTRICT INSTITUTE OF EDUCATION AND TRAINING SEONI,Madhya Pradesh,Seoni,1990,Rural,Teacher Training,State Government
S-186,XAVIER INSTITUTION OF DEVELOPMENT ACTION AND STUDIES -XIDAS,Madhya Pradesh,Jabalpur,1995,Urban,PGDM Institutes,Private Un-Aided
S-19231,ARSHI SCHOOL OF NURSING,Madhya Pradesh,Rajgarh,2018,Rural,Nursing,Private Un-Aided
S-1597,INDORE WOMEN'S POLYTECHNIC COLLEGE,Madhya Pradesh,Indore,1993,Urban,Technical/Polytechnic,State Government
S-21194,VIR TATYA TOPE PARAMEDICAL COLLEGE,Madhya Pradesh,Shivpuri,-,Urban,Paramedical,Private Un-Aided
S-20950,SHRI GAJANAN SHIKSHA SAMITI COLLEGE KIWLARI SOHAGPUR,Madhya Pradesh,Narmadapuram,2020,Rural,PGDM Institutes,Private Un-Aided
S-21788,SHRI ARJUN SINGH SHIKSHA MAHAVIDHYALAY CHOKWAN PURA THARA AMBAH,Madhya Pradesh,Morena,-,Rural,Teacher Training,Private Un-Aided
S-7225,DISTRICT INSTITUTE OF EDUCATION AND TRAINING SEHORE,Madhya Pradesh,Sehore,1992,Rural,Teacher Training,State Government
S-20672,IITS COLLEGE SCHOOL OF NURSING GUNA,Madhya Pradesh,Guna,2010,Rural,Nursing,Private Un-Aided
S-18503,RENAISSANCE UNIVERSITY IIIBM,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-21129,PRESTIGE INSTITUTE OF GLOBAL MANAGEMENT,Madhya Pradesh,Indore,2019,Urban,PGDM Institutes,Private Un-Aided
S-7222,DISTRICT INSTITUTE OF EDUCATION AND TRAINING SAGER SAGAR,Madhya Pradesh,Sagar,1960,Rural,Teacher Training,State Government
S-21706,"MOTHER TERESA SCHOOL OF NURSING, HOSHANGABAD, BLOCK KESLA",Madhya Pradesh,Narmadapuram,-,Rural,Nursing,Private Un-Aided
S-4733,YOGMANI INSTITUTE OF NURSING JABALPUR,Madhya Pradesh,Jabalpur,2009,Urban,Nursing,Private Aided (Government Aided)
S-20667,BHOPAL COLLEGE OF NURSING,Madhya Pradesh,Bhopal,2020,Urban,Nursing,Private Un-Aided
S-20666,ANANT INSTITUTE OF NURSING,Madhya Pradesh,Ashoknagar,-,Rural,Nursing,Private Un-Aided
S-20665,AAYUSHMAN SCHOOL OF NURSING JHABUA,Madhya Pradesh,Jhabua,-,Rural,Nursing,Private Un-Aided
S-1560,GOVT.POLYTECHNIC COLLEGE BHIND,Madhya Pradesh,Bhind,2001,Urban,Technical/Polytechnic,State Government
S-7218,DISTRICT INSTITUTE OF EDUCATION AND TRAINING RAISEN,Madhya Pradesh,Raisen,1991,Urban,Teacher Training,Central Government
S-7337,YUVA VYAVASAIK SHIKSHAN SANSTHAN GUNA,Madhya Pradesh,Guna,2006,Urban,Teacher Training,Private Aided (Government Aided)
S-18502,RENAISSANCE UNIVERSITY IISCS,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-18341,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION GWALIOR,Madhya Pradesh,Gwalior,-,Urban,Hotel Management and Catering,Central Government
S-17277,ARYABHATT COLLEGE OF TECHNOLOGY  AND SCIENCE UDAIPURA,Madhya Pradesh,Raisen,2016,Rural,Teacher Training,Private Un-Aided
S-21787,"MANGAL MAHAVIDYALAYA,AMILHEDA,PORSA,MORENA",Madhya Pradesh,Morena,-,Rural,Teacher Training,Private Un-Aided
S-7338,YUVA VYAVSAIK SHIKSHA MAHAVIDYALAYA ASHOKNAGAR,Madhya Pradesh,Ashoknagar,2007,Rural,Teacher Training,Private Aided (Government Aided)
S-17279,GALAV RISHI INSTITUTE OF EDUCATION,Madhya Pradesh,Bhind,2010,Rural,Teacher Training,Private Un-Aided
S-17283,MULTAPI MAHAVIDHYLAYA PARMANDAL MULTAI,Madhya Pradesh,Betul,2016,Urban,Teacher Training,Local Body
S-15476,Gyanodaya Institute of Nursing,Madhya Pradesh,Neemuch,2011,Rural,Nursing,Private Un-Aided
S-15477,Gyanodaya Institute of Professional Studies,Madhya Pradesh,Dewas,2013,Urban,Nursing,Private Un-Aided
S-4743,D Y PATIL INSTITUTE OF NURSING EDUCATION KOLHAPUR,Maharashtra,Kolhapur,2002,Rural,Nursing,Private Un-Aided
S-10800,6492-SAMARTH EDUCATIONAL TRUST`S SAWKAR PHARMACY COLLEGE JAITAPUR SATARA 415004,Maharashtra,Satara,2003,Rural,Technical/Polytechnic,Private Un-Aided
S-13803,"5258-dip Foundation's Sandip Polytechnic, Nashik",Maharashtra,Nashik,2011,Rural,Technical/Polytechnic,Private Un-Aided
S-9886,SHAHADA TALUKA CO. OP. EDUCATION SHAHADA NANDURBAR,Maharashtra,Nandurbar,2005,Rural,Teacher Training,Private Aided (Government Aided)
S-12504,"SHRI RAMDAS ATHWALE COLLEGE OF EDUCATION, SOLAPUR",Maharashtra,Solapur,2006,Rural,Teacher Training,Private Un-Aided
S-14568,"6824-TRINITY POLYTECHNIC PUNE, MAHARASHTRA",Maharashtra,Pune,2014,Urban,Technical/Polytechnic,Private Un-Aided
S-2215,"5249-Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon",Maharashtra,Jalgaon,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-22361,P P COLLEGE OF NURSING LATUR,Maharashtra,Latur,-,Urban,Nursing,Private Un-Aided
S-16090,"Maharashtra Arogya Mandals Institute of Nursing Education,Pune",Maharashtra,Pune,2002,Urban,Nursing,Private Un-Aided
S-17051,SAWALI SCHOOL OF NURSING,Maharashtra,Ahilyanagar,2011,Rural,Nursing,Private Un-Aided
